[08:14:55 AM || 19/06/2026] [ERROR] [UNCAUGHT_EXCEPTION] [eval]:5
console.log(JSON.stringify(global.__captured.HIDDEN_OWNER_IDS, null, 2));
                                             ^

TypeError: Cannot read properties of undefined (reading 'HIDDEN_OWNER_IDS')
    at [eval]:5:46
    at runScriptInThisContext (node:internal/vm:209:10)
    at node:internal/process/execution:446:12
    at [eval]-wrapper:6:24
    at runScriptInContext (node:internal/process/execution:444:60)
    at evalFunction (node:internal/process/execution:279:30)
    at evalTypeScript (node:internal/process/execution:291:3)
    at node:internal/main/eval_string:74:3
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: slots
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: snb
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: spamgc
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: sting
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: story
[04:04:35 PM || 19/06/2026] [ERROR] [COMMAND] Skipped text2video.js: missing/incorrect credits field (expected "MR DEVIL")
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: threadban
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: tid
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: top
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: translate
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: trivia
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: uid
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: uidall
[04:04:35 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: unban
[04:04:36 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: unsend
[04:04:36 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: upt2
[04:04:36 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: uptime
[04:04:36 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: work
[04:04:36 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: wyr
[04:04:36 PM || 19/06/2026] [SUCCESS] [COMMAND] Loaded: ytmp3
[04:04:36 PM || 19/06/2026] [INFO] [REFRESH] Loaded 137 commands
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: adminchange
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: aichat
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: antioutHandler
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: autodl
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: autoreact
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: autoseen
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: botnotiSpam
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: fbautodl
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: goibot
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: guard
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: igautodl
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: joinnoti
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: leave
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: pinterestautodl
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: resend
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: tiktokautodl
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: triviaListener
[04:04:36 PM || 19/06/2026] [SUCCESS] [EVENT] Loaded: welcome
