    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1705:16)
[05:37:46 PM || 20/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[05:37:46 PM || 20/06/2026] [SUCCESS] [COOKIES] Loaded 13 cookies from cookies.txt
[05:37:46 PM || 20/06/2026] [INFO] [BOT] Starting 🌟 MR DEVIL BOT 🌟...
[05:37:46 PM || 20/06/2026] [INFO] [BOT] Timezone: Asia/Karachi
[05:37:46 PM || 20/06/2026] [INFO] [BOT] Prefix: .
[05:37:46 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[05:37:46 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[05:38:31 PM || 20/06/2026] [INFO] [BOT] Login method: COOKIES (cookies.txt)
[05:38:31 PM || 20/06/2026] [SUCCESS] [COOKIES] Loaded 13 cookies from cookies.txt
[05:38:31 PM || 20/06/2026] [INFO] [BOT] Starting 🌟 MR DEVIL BOT 🌟...
[05:38:31 PM || 20/06/2026] [INFO] [BOT] Timezone: Asia/Karachi
[05:38:31 PM || 20/06/2026] [INFO] [BOT] Prefix: .
[05:38:31 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Control Panel running on port 5000
[05:38:31 PM || 20/06/2026] [SUCCESS] [WEB_PANEL] Local:   http://localhost:5000
[05:39:13 PM || 20/06/2026] [SUCCESS] [LOGIN] Logged in successfully!
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: add
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: addfriend
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: aisetup
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: allbox
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: antiout
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: autoreact
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: autoseen
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: autosent
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: avatar
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: balance
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: ban
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: bank
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: barfi
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: bestie
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: bestie2
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: bestie3
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: bestie4
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: bestie5
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: biryani
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: botnoti
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: broadcast
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: brother
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: brother2
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: brother3
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: chatai
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: chicken
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: chocolate
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: clearinbox
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: clearnickall
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: cmd
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: coinflip
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: creategroup
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: dahibhaly
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: daily
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: edit
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: emojigif
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: enhance
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: filter
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: friends
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: gajar
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: getuid
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: golgapy
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: groupinfo
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: gulabjaman
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: hack
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: help
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: ibb
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: icecream
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: info
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: islamicscheduler
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: join
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: juice
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: kick
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: kiss
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: lassi
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: link
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: macaroni
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: milkshake
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: nicklock
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: nicklockall
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: nickname
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: nickunlock
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: nickunlockall
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: noodles
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: ofcmd
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: olcmd
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: onlyadmin
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: openaccount
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: out
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: outbox
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: owner
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair10
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair11
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair12
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair13
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair14
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair15
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair2
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair3
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair4
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair5
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair6
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair7
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair8
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pair9
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pani
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pasta
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: ping
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: pizza
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: play
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: playvideo
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: poll
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: prefix
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: rankup
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: rasgullah
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: redbull
[05:39:13 PM || 20/06/2026] [SUCCESS] [COMMAND] Loaded: refresh
